Filename,Group,Baseline Offset (N),Trigger Force (N),Peak Prominence (N),Peak Distance (pts),Modulus Strain Min (%),Modulus Strain Max (%)
260226_DC_TPA_10kN10.csv,10%,-0.04089108,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN8.csv,10%,-0.046002529758677,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN9.csv,10%,-0.042594920173974996,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN11.csv,15%,0.011926610364827001,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN12.csv,15%,-0.042594901348882,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN13.csv,15%,-0.02385310929376,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN14.csv,15%42%pwd,-0.05963285,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN15.csv,15%42%pwd,-0.040891099633024994,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN16.csv,15%42%pwd,-0.06644807,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN4.csv,5%,-0.0357797,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN5.csv,5%,-0.01022272,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN6.csv,5%,0.0528177,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN7.csv,5%,-0.06985577,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN1.csv,ctrl,-0.03407596,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN2.csv,ctrl,-0.008518969874535202,0.05,0.5,200,10.0,17.0
260226_DC_TPA_10kN3.csv,ctrl,-0.030668319951336304,0.05,0.5,200,10.0,17.0
