Metric,Group1,Group2,Test,Statistic,P_raw,P_adj,Significant,Stats Mode,Stats Decision,Global Test,Global P,Alpha,Decision Reason,Stats Note
Hardness (N),10%,15%,Tukey HSD,5.411513701386994,0.0015840537199833804,0.0015840537199833804,True,auto,parametric,One-way ANOVA + Tukey HSD,1.5624141277689964e-07,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.562e-07); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Hardness (N),10%,15%42%pwd,Tukey HSD,0.34798447686084355,0.996361647345345,0.996361647345345,False,auto,parametric,One-way ANOVA + Tukey HSD,1.5624141277689964e-07,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.562e-07); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Hardness (N),10%,5%,Tukey HSD,-6.2155943090193215,0.0005012080627204707,0.0005012080627204707,True,auto,parametric,One-way ANOVA + Tukey HSD,1.5624141277689964e-07,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.562e-07); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Hardness (N),10%,ctrl,Tukey HSD,-8.584124361902065,2.6323949337214714e-05,2.6323949337214714e-05,True,auto,parametric,One-way ANOVA + Tukey HSD,1.5624141277689964e-07,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.562e-07); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Hardness (N),15%,15%42%pwd,Tukey HSD,-5.0635292245261505,0.002671323875078624,0.002671323875078624,True,auto,parametric,One-way ANOVA + Tukey HSD,1.5624141277689964e-07,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.562e-07); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Hardness (N),15%,5%,Tukey HSD,-12.000745798854476,9.405912424487184e-07,9.405912424487184e-07,True,auto,parametric,One-way ANOVA + Tukey HSD,1.5624141277689964e-07,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.562e-07); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Hardness (N),15%,ctrl,Tukey HSD,-13.995638063289059,1.9192658351485647e-07,1.9192658351485647e-07,True,auto,parametric,One-way ANOVA + Tukey HSD,1.5624141277689964e-07,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.562e-07); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Hardness (N),15%42%pwd,5%,Tukey HSD,-6.5876053628276185,0.00030236744636269464,0.00030236744636269464,True,auto,parametric,One-way ANOVA + Tukey HSD,1.5624141277689964e-07,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.562e-07); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Hardness (N),15%42%pwd,ctrl,Tukey HSD,-8.932108838762908,1.7944907622635675e-05,1.7944907622635675e-05,True,auto,parametric,One-way ANOVA + Tukey HSD,1.5624141277689964e-07,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.562e-07); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Hardness (N),5%,ctrl,Tukey HSD,-2.9612206417512517,0.0777759975154535,0.0777759975154535,False,auto,parametric,One-way ANOVA + Tukey HSD,1.5624141277689964e-07,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.562e-07); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
