Filename,Group,Baseline Offset (N),Trigger Force (N),Peak Prominence (N),Peak Distance (pts),Modulus Strain Min (%),Modulus Strain Max (%),Peak1 Index,Peak2 Index,Bite1 Start Index,Bite1 End Index,Bite2 Start Index,Bite2 End Index,Peak1 Time (s),Peak2 Time (s),Bite1 Start Time (s),Bite1 End Time (s),Bite2 Start Time (s),Bite2 End Time (s),Peak1 Force Corrected (N),Peak2 Force Corrected (N),A1 Area (N*s),A2 Area (N*s),A1 Up Area (N*s),A1 Down Area (N*s),Adhesiveness Area (N*s),Hardness (N),Cohesiveness,Springiness,Resilience,Chewiness,Modulus (kPa),Modulus Fit Points
260226_DC_TPA_10kN1.csv,ctrl,-0.03407596,0.05,0.5,200,10.0,17.0,111,551,7,389,473,819,20.96,107.16,1.14,76.76,92.44,161.28,46.44547596,36.51237596,1879.0506041506997,1488.9441517052,380.4250912547,1498.625512896,-5.435278833200001,46.44547596,0.7923917261281948,0.7426841574167506,3.939344557829517,27.333013116001432,2734.9471662105607,37
260226_DC_TPA_10kN10.csv,10%,-0.04089108,0.05,0.5,200,10.0,17.0,113,545,8,364,469,790,22.0399,110.34,1.35994,74.9599,95.5599,162.04,34.09979108,25.529691080000003,1336.4956470067568,987.144598949658,323.1232702011568,1013.3723768056002,-11.817862178999999,34.09979108,0.7386066697340072,0.7147064114243936,3.136178883602956,18.000833767012445,1794.7961691566009,34
260226_DC_TPA_10kN11.csv,15%,0.011926610364827001,0.05,0.5,200,10.0,17.0,109,534,11,348,469,769,21.3399,108.2,1.7599,71.5599,95.5199,157.96,21.541073389635173,17.008973389635173,795.5932642724008,618.1584529539396,173.5718509390567,622.0214133333441,-7.702018558060994,21.541073389635173,0.7769779870110742,0.6476046986721142,3.5836537432083024,10.838920881994458,1388.2040893701403,34
260226_DC_TPA_10kN12.csv,15%,-0.042594901348882,0.05,0.5,200,10.0,17.0,115,549,15,353,480,784,22.3602,111.34,2.7202,72.6802,97.8202,161.08,21.91929490134888,16.41609490134888,784.6959657713562,594.2042316236082,172.86952431625014,611.8264414551059,-7.751694858135862,21.91929490134888,0.7572413489337941,0.6883808553971489,3.5392383005336514,11.425880662573888,1411.2632799300961,34
260226_DC_TPA_10kN13.csv,15%,-0.02385310929376,0.05,0.5,200,10.0,17.0,108,532,9,344,471,765,21.14,107.54,1.59998,70.92,95.48,156.86,25.03555310929376,18.39075310929376,897.7383688581237,642.9660206754064,220.09621656133916,677.6421522967846,-8.087134925789883,25.03555310929376,0.7162064616812864,0.6171948646930762,3.078845074594596,11.066689614351114,1479.853242460911,37
260226_DC_TPA_10kN14.csv,15%42%pwd,-0.05963285,0.05,0.5,200,10.0,17.0,112,539,10,357,469,779,21.6202,109.06,1.62018,73.5202,95.4202,159.8,30.52353285,24.33873285,1170.8367168913737,917.1093856915074,248.08365301937374,922.753063872,-5.054311333,30.52353285,0.7832940088575936,0.6819893180106824,3.7195238486751037,16.30561468539197,1849.5775427987267,36
260226_DC_TPA_10kN15.csv,15%42%pwd,-0.040891099633024994,0.05,0.5,200,10.0,17.0,110,532,8,352,463,768,21.0598,107.36,1.21979,72.2598,93.7198,157.48,32.634491099633024,24.609591099633025,1208.2104996420182,899.0686619669025,273.59957834173383,934.6109213002842,-3.2775261948018892,32.634491099633024,0.7441324688316219,0.6875097341180773,3.415980854082048,16.695750683401023,1900.5229511555485,37
260226_DC_TPA_10kN16.csv,15%42%pwd,-0.06644807,0.05,0.5,200,10.0,17.0,111,540,8,356,466,781,21.36,108.58,1.23996,72.8,94.08,159.16,35.28384807,26.47524807,1339.3829483697227,986.7080588502,318.3728235153227,1021.0101248543999,-12.367097745799999,35.28384807,0.7366885326195967,0.7206745115814879,3.2069638155068865,18.73264122576226,1904.3085437155946,36
260226_DC_TPA_10kN2.csv,ctrl,-0.008518969874535202,0.05,0.5,200,10.0,17.0,108,525,8,365,453,776,20.66,106.28,1.23995,74.8999,92.1199,159.4,51.088318969874535,38.190618969874535,1983.253088633554,1512.0701262079783,427.1262244544371,1556.126864179117,-8.570965312815296,51.088318969874535,0.762419146035357,0.7291484831398477,3.6432482369040633,28.400852952190466,3040.3488097172053,36
260226_DC_TPA_10kN3.csv,ctrl,-0.030668319951336304,0.05,0.5,200,10.0,17.0,108,526,9,366,452,778,20.7001,106.28,1.3201,74.8001,91.7401,159.24,53.73426831995134,40.29136831995134,2070.000341620078,1579.0463414985038,456.6134808306569,1613.386860789421,-10.416728579413657,53.73426831995134,0.762824193672678,0.7502528379772964,3.533375444488407,30.7527137059161,3151.9208142760917,35
