"Unterseriennummer",0,""
"Probennummer",11," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0199023,0.017038,6.67187e-007,6.09598
0.0399023,0.017038,6.06922e-005,6.09592
0.0799023,0.017038,6.06922e-005,6.09592
0.0999023,0.017038,6.06922e-005,6.09592
0.259902,-0.0170379,6.06922e-005,6.09592
0.459902,3.64827e-009,6.06922e-005,6.09592
0.679902,0.017038,6.67187e-007,6.09598
0.879902,0.017038,6.67187e-007,6.09598
1.0999,0.017038,6.67187e-007,6.09598
1.3199,0.017038,0.00948462,6.08649
1.5399,0.0681518,0.0314538,6.06453
1.7599,0.0340759,0.0533629,6.04262
1.9599,0.102228,0.0735313,6.02245
2.1799,0.119266,0.0953804,6.0006
2.3799,0.136304,0.115429,5.98055
2.5999,0.187417,0.137398,5.95858
2.6999,0.221493,0.147542,5.94844
2.8199,0.255569,0.159427,5.93655
3.0399,0.340759,0.181516,5.91446
3.2599,0.408911,0.203425,5.89255
3.4599,0.511139,0.223474,5.87251
3.6799,0.647442,0.245323,5.85066
3.8999,0.715594,0.267412,5.82857
4.1199,0.83486,0.289441,5.80654
4.3399,0.988201,0.31147,5.78451
4.5599,1.14154,0.33356,5.76242
4.7199,1.22673,0.349466,5.74651
4.7799,1.26081,0.355409,5.74057
4.9999,1.39711,0.377498,5.71848
5.2199,1.55045,0.399407,5.69657
5.4199,1.66972,0.419395,5.67658
5.6399,1.87417,0.441364,5.65461
5.8399,2.06159,0.461353,5.63463
6.0599,2.21493,0.483442,5.61254
6.2799,2.41939,0.505411,5.59057
6.4999,2.64088,0.52744,5.56854
6.7199,2.74311,0.54947,5.54651
6.9199,2.98164,0.569458,5.52652
7.1399,3.16906,0.591427,5.50455
7.3399,3.40759,0.611475,5.4845
7.5599,3.57797,0.633444,5.46254
7.7799,3.79946,0.655354,5.44063
7.9999,4.02096,0.677443,5.41854
8.2199,4.24245,0.699412,5.39657
8.4199,4.48098,0.71946,5.37652
8.6399,4.6684,0.741489,5.35449
8.7199,4.75359,0.749473,5.34651
8.8399,4.87285,0.761478,5.3345
9.0599,5.06027,0.783507,5.31247
9.2799,5.31584,0.805416,5.29056
9.4999,5.53733,0.827325,5.26865
9.7199,5.7929,0.849414,5.24657
9.9199,6.04847,0.869463,5.22652
10.1399,6.32108,0.891432,5.20455
10.3399,6.52554,0.91142,5.18456
10.5599,6.76407,0.933449,5.16253
10.7199,6.96852,0.949536,5.14644
10.7999,7.03667,0.957459,5.13852
10.9999,7.27521,0.977388,5.11859
11.2199,7.4967,0.999417,5.09656
11.4199,7.75227,1.01947,5.07651
11.6399,8.04191,1.04143,5.05455
11.8399,8.22933,1.06136,5.03462
12.0599,8.51898,1.08345,5.01253
12.2799,8.87677,1.10542,4.99056
12.5199,9.14938,1.12949,4.96649
12.7399,9.40495,1.1514,4.94458
12.9599,9.72867,1.17337,4.92261
13.1799,10.0183,1.19546,4.90052
13.3799,10.2739,1.21545,4.88053
13.5999,10.6146,1.23742,4.85856
13.8199,10.8191,1.25945,4.83653
14.0399,11.1258,1.28141,4.81457
14.2599,11.4325,1.30332,4.79266
14.4599,11.7221,1.32343,4.77255
14.6799,12.0118,1.34546,4.75052
14.7399,12.0969,1.35146,4.74452
14.8799,12.2673,1.36539,4.73059
15.0999,12.6081,1.38748,4.7085
15.3199,12.9148,1.40939,4.68659
15.5399,13.2555,1.43148,4.6645
15.7599,13.4941,1.45345,4.64253
15.9599,13.8007,1.47343,4.62255
16.1799,14.1415,1.49546,4.60052
16.3799,14.4482,1.51551,4.58047
16.5999,14.7208,1.53742,4.55856
16.7599,14.9764,1.55351,4.54247
16.8199,15.0275,1.55945,4.53653
17.0399,15.3512,1.58142,4.51456
17.2599,15.726,1.60333,4.49265
17.4599,15.9646,1.6235,4.47248
17.6799,16.2542,1.64547,4.45051
17.8799,16.5609,1.66539,4.43059
18.0999,16.8676,1.68748,4.4085
18.3199,17.2254,1.70939,4.38659
